,unixtime,mmsi,nav_status,sog,position_accuracy,lat,lon,cog,true_heading,timestamp
132,"1622561357.727733,",244690814,0,0.2000000029802322,1,51.95850166666666,4.144001666666667,196.3000030517578,310,17
133,"1622561357.9935262,",244900124,0,0.0,0,51.960013333333336,4.01117,181.1000061035156,357,18
134,"1622561358.0186963,",244120000,0,10.699999809265137,1,52.07115833333334,4.118016666666667,245.3999938964844,246,17
135,"1622561358.1058834,",244050469,0,0.0,0,51.96119166666666,4.089876666666667,229.8999938964844,192,17
136,"1622561358.5141494,",636012662,0,0.0,0,51.967705,4.07392,137.0,152,19
137,"1622561358.632275,",249522000,10,9.5,1,51.96736666666666,4.0864,42.0,42,18
138,"1622561358.9525025,",311020200,0,0.0,1,51.927261666666666,4.206683333333333,79.0,309,19
139,"1622561359.282476,",244030516,0,4.699999809265137,1,51.93975833333333,4.084693333333333,109.6999969482422,106,18
140,"1622561359.3451154,",636017857,4,8.5,1,51.98134666666667,4.070805,115.1999969482422,114,10
141,"1622561359.4679875,",304642000,5,16.700000762939453,1,52.0295,3.9421666666666666,291.0,297,17
142,"1622561359.5080886,",305149000,0,5.5,0,51.971493333333335,4.0994166666666665,111.9000015258789,112,20
143,"1622561359.6323636,",244287000,0,25.100000381469727,1,51.97141666666667,4.1194,37.0,35,17
144,"1622561359.6855774,",211684020,0,0.0,1,51.964153333333336,4.094455,22.299999237060547,114,20
145,"1622561359.788464,",370084000,5,0.0,1,51.97188833333333,4.0517916666666665,170.10000610351562,170,18
146,"1622561359.7991238,",248753000,0,9.199999809265137,0,51.96783166666667,4.112588333333333,118.0999984741211,117,18
147,"1622561359.9946377,",314416000,0,11.699999809265137,0,52.010855,4.00202,298.1000061035156,299,18
148,"1622561360.4690418,",244697000,0,0.0,0,51.95145,4.144166666666667,149.0,41,18
149,"1622561360.4962232,",245617000,7,8.199999809265137,1,51.85969166666667,3.917275,14.5,13,9
150,"1622561360.8733792,",245385000,5,0.0,0,51.96665166666666,4.044046666666667,281.79998779296875,109,19
151,"1622561361.3345563,",244287000,0,25.299999237060547,1,51.9716,4.1196166666666665,33.0,33,19
152,"1622561361.502386,",205565000,0,0.0,0,51.960998333333336,4.14071,266.5,353,60
153,"1622561361.705905,",212733000,5,0.1000000014901161,1,51.96245166666667,4.056803333333334,208.0,261,21
154,"1622561361.8830056,",244407000,0,0.0,1,51.97666,4.1255,180.0,208,20
155,"1622561361.9938734,",244050469,0,0.0,0,51.96119166666666,4.089875,244.1999969482422,193,21
